id,title,description,tile,start,end,time_diff_days,notification_type
e1c20daf-4b14-4c65-962d-9e286430bfef,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-07-24 08:03:15,2023-07-24 08:05:00,0.0012152777777777778,minor
e1c20daf-4b14-4c65-962d-9e286430bfef,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-07-24 08:03:15,2023-07-24 08:05:00,0.0012152777777777778,minor
e1c20daf-4b14-4c65-962d-9e286430bfef,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED,ee323936-56e9-4868-bfb1-5e87f18105e5,2023-07-24 08:03:15,2023-07-24 08:05:00,0.0012152777777777778,minor
e1c20daf-4b14-4c65-962d-9e286430bfef,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-07-24 08:03:15,2023-07-24 08:05:00,0.0012152777777777778,minor
e1c20daf-4b14-4c65-962d-9e286430bfef,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED,e3eef460-7250-4f43-a624-858066d2c8c3,2023-07-24 08:03:15,2023-07-24 08:05:00,0.0012152777777777778,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,374921ac-0601-4f03-be6b-bb700c116f35,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,ee323936-56e9-4868-bfb1-5e87f18105e5,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,e3eef460-7250-4f43-a624-858066d2c8c3,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
95d56c33-f77a-49ec-8f2d-c2c1d7cc3c94,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (Resolved),RESOLVED,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-07-27 06:51:50,2023-07-27 12:00:54,0.21464107638888888,minor
b8487f4d-025b-462f-8c72-f2c7f1b72eb1,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports(RESOLVED),RESOLVED ,374921ac-0601-4f03-be6b-bb700c116f35,2023-08-01 06:33:53,2023-08-01 16:38:00,0.41952546296296295,minor
