Start Timestamp,Subject Area Name,Source Path,Dashboard Name,Dashboard Page,Error Text,User Name,title,Error Category,Stakeholder Classification,Parsed Dashboard Name
2024-09-25 16:53:19.000,Enterprise Data - Receipts Dataset,/users/bm073217/NON SKU/2024/FIELD NON SKU/Georgia Pacific MSF,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,CT074421,Accounting Analyst,Data Type & Value Errors,Data Issues,Georgia Pacific MSF
2024-09-25 16:53:35.000,Enterprise Data - Receipts Dataset,/users/bm073217/NON SKU/2024/FIELD NON SKU/Georgia Pacific MSF,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,CT074421,Accounting Analyst,Data Type & Value Errors,Data Issues,Georgia Pacific MSF
2024-09-25 16:54:16.000,Enterprise Data - Receipts Dataset,/users/bm073217/NON SKU/2024/FIELD NON SKU/Georgia Pacific MSF,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,CT074421,Accounting Analyst,Data Type & Value Errors,Data Issues,Georgia Pacific MSF
2024-09-25 16:55:39.000,Enterprise Data - Receipts Dataset,/users/bm073217/NON SKU/2024/FIELD NON SKU/Georgia Pacific MSF,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,CT074421,Accounting Analyst,Data Type & Value Errors,Data Issues,Georgia Pacific MSF
2024-09-25 17:49:24.000,Not Specified,No Path Available,Untitled Dashboard,No Page,"[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: SQL compilation error:View definition for 'UNIFIED_EDS_PROD.GLOBAL.PURCHASE_ORDERS_DATE_ORDERED' declared 78 column(s),",BG086364,EA Business Intelligence Manager,SQL Syntax & Compilation Errors,Query & Code Issues,No Path Available
2024-09-25 17:49:29.000,Not Specified,No Path Available,Untitled Dashboard,No Page,"[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: SQL compilation error:View definition for 'UNIFIED_EDS_PROD.GLOBAL.PURCHASE_ORDERS_DATE_ORDERED' declared 78 column(s),",BG086364,EA Business Intelligence Manager,SQL Syntax & Compilation Errors,Query & Code Issues,No Path Available
2024-09-26 12:00:12.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-26 12:00:12.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-26 12:00:25.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-26 12:00:31.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
